Biota,mp,lipid,nlom,nloc,Wb,taxa,GR,assimEff_1,assimEff_2,assimEff_3
Sediment,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0.0012,0,0.06,0,1,0.08,0,0,0
Submerged Macrophyte,0,0.0038,0,0.06,0,1,0.125,0,0,0
Zooplankton,0,0.01,0.2,0,0.000000071,2,0.00035,0.75,0.75,0.55
"Small polychaete (e.g., Harmothoe imbricata)",0.05,0.0075,0.2,0,0.0000001,3,0.00035,0.75,0.75,0.55
"Large polychaete (e.g., Neanthes)",0.05,0.0075,0.2,0,0.00011,3,0.00035,0.75,0.75,0.55
Amphipod,0,0.01,0.2,0,0.00000313,3,0.00035,0.75,0.75,0.55
Cumacean,0,0.01,0.2,0,0.000005,4,0.00035,0.75,0.75,0.55
Mysid,0,0.01,0.2,0,0.000015,4,0.00035,0.75,0.75,0.55
Bivalve mollusk,0.05,0.0086,0.1,0,0.0112,4,0.00035,0.75,0.75,0.55
Decapod crab,0.05,0.0125,0.2,0,0.005,3,0.00035,0.75,0.75,0.55
Crangon shrimp,0,0.02,0.2,0,0.000372,4,0.00035,0.75,0.75,0.55
Forage fish - herbivore,0,0.012,0.2,0,0.004,6,0.0007,0.92,0.6,0.55
Forage fish - planktivore,0,0.025,0.2,0,0.0215,5,0.0007,0.92,0.6,0.55
Forage fish - mixed diet i,0,0.02,0.2,0,0.00131,5,0.0007,0.92,0.6,0.55
Forage fish - mixed diet ii,0.05,0.03,0.2,0,0.13,5,0.0007,0.92,0.6,0.55
Forage fish  - primarily benthivore,0,0.018,0.2,0,0.015,5,0.0007,0.92,0.6,0.55
Forage fish - benthivore,0,0.03,0.2,0,0.03,5,0.0007,0.92,0.6,0.55
indic1,0,,0.2,0,1.4633,5,0.0007,0.92,0.6,0.55
indic2,0,,0.2,0,0.6,5,0.0007,0.92,0.6,0.55
indic3,0,,0.2,0,0.05,5,0.0007,0.92,0.6,0.55
indic4,0,,0.2,0,0.371,5,0.0007,0.92,0.6,0.55
indic5,0,,0.2,0,0.0513,5,0.0007,0.92,0.6,0.55
indic6,0,,0.2,0,2,5,0.0007,0.92,0.6,0.55
indic7,0,,0.2,0,0.02,5,0.0007,0.92,0.6,0.55
indic8,0,,0.2,0,1.23,5,0.0007,0.92,0.6,0.55
indic9,0,,0.2,0,1,5,0.0007,0.92,0.6,0.55
